X,Y,OBJECTID,currentValueTime,currentValue,Name
-284399.352004795,6701468.19484754,5659,2016/09/29 17:00:00+01,0.37,Netham Weir
-284252.393763688,6697912.39153731,5660,2015/09/11 05:15:00+01,0.079,Brislington
-284252.393763688,6697912.39153731,5661,2015/09/13 05:30:00+01,0.078,Brislington
-284252.393763688,6697912.39153731,5662,2015/09/14 20:45:00+01,0.15,Brislington
-284399.352004795,6701468.19484754,5663,2015/09/16 05:15:00+01,0.459,Netham Weir
-285656.259471231,6704915.77537443,5664,2015/09/16 16:30:00+01,0.305,Eastville
-292299.699288219,6699323.02851977,5665,2015/09/17 18:45:00+01,0.937,Ashton Vale
-292299.699288219,6699323.02851977,5666,2016/04/14 22:45:00+01,0.966,Ashton Vale
-284252.393763688,6697912.39153731,5667,2016/08/12 05:00:00+01,0.072,Brislington
-284399.352004795,6701468.19484754,5668,2016/04/19 17:00:00+01,0.437,Netham Weir
-293204.769686181,6697303.4512554,5669,2015/05/13 10:15:00+01,-0.004,Colliters Brook
-293204.769686181,6697303.4512554,5670,2015/05/16 05:15:00+01,0.002,Colliters Brook
-287945.67407325,6702017.94952149,5671,2015/05/18 11:00:00+01,0.213,Bristol Harbour Passage Street
-287945.67407325,6702017.94952149,5672,2016/04/22 17:00:00+01,0.131,Bristol Harbour Passage Street
-285656.259471231,6704915.77537443,5673,2016/08/13 19:45:00+01,0.305,Eastville
-284399.352004795,6701468.19484754,5674,2015/05/25 05:15:00+01,0.391,Netham Weir
-285656.259471231,6704915.77537443,5675,2015/05/29 05:30:00+01,0.305,Eastville
-284252.393763688,6697912.39153731,5676,2016/08/15 20:00:00+01,0.067,Brislington
-287945.67407325,6702017.94952149,5677,2015/12/02 21:00:00+00,0.272,Bristol Harbour Passage Street
-287945.67407325,6702017.94952149,5678,2016/06/28 05:00:00+01,0.101,Bristol Harbour Passage Street
-284252.393763688,6697912.39153731,5679,2016/06/28 05:00:00+01,0.086,Brislington
-285656.259471231,6704915.77537443,5680,2015/12/12 17:15:00+00,0.343999999999999,Eastville
-284399.352004795,6701468.19484754,5681,2016/09/06 05:00:00+01,0.436,Netham Weir
-284399.352004795,6701468.19484754,5682,2015/12/03 04:00:00+00,0.574,Netham Weir
-293204.769686181,6697303.4512554,5683,2015/12/13 04:00:00+00,0.268,Colliters Brook
