X,Y,FID,datetime,siteid,tc_cfu,ec_cfu,tc_mpn,ec_mpn,p_ecc_cfu,fs_cfu,temp,ph,cond,do,dopc,phosphate_,salinity,clost_perf,ammonium_n,turb,ammonium_1,nitrite,nitrate,fcoliforms,bod,cod,sussolids,id,sitename,river,total_coli,total_ecol
-291574.2671,6700865.093,8537,2021/10/02 10:00:00+01,d13a,8000,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11665,Cumberland Basin Holding Pen,Floating Harbour,8000,900
-291720.9616,6700950.118,8538,2016/06/03 10:00:00+01,d13,100,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11680,Cumberland Basin (centre),Floating Harbour,100,10
-292142.8133,6701206.861,8539,2016/06/04 10:00:00+01,d13c,600,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11688,Tidal Avon,River Avon,600,130
-290295.4778,6701170.247,8540,2015/06/10 10:00:00+01,d2,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11695,S.S. Great Britain,Floating Harbour,0,90
-289036.1314,6701008.409,8541,2015/06/10 10:00:00+01,d5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11697,Prince Street Bridge,Floating Harbour,0,100
-284389.19,6701650.563,8542,2015/06/10 10:00:00+01,d99,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11701,Netham Lock,Feeder Canal,0,220
-291720.9616,6700950.118,8543,2014/06/28 10:00:00+01,d13,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11717,Cumberland Basin (centre),Floating Harbour,0,100
-291720.9616,6700950.118,8544,2013/06/20 10:00:00+01,d13,100,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11724,Cumberland Basin (centre),Floating Harbour,100,30
-291293.9654,6700743.108,8545,1994/05/25 13:00:00+01,d1,18000,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Baltic Wharf,Floating Harbour,18000,600
-289186.4951,6701627.563,8546,1994/06/15 13:00:00+01,d4,200,100,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,St Augustines Reach,Floating Harbour,200,100
-289186.4951,6701627.563,8547,1994/08/11 13:00:00+01,d4,4900,530,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,St Augustines Reach,Floating Harbour,4900,530
-291293.9654,6700743.108,8548,1994/09/14 13:00:00+01,d1,5500,800,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,Baltic Wharf,Floating Harbour,5500,800
